mesic_shrub,mesic_shrub_occ,xeric_shrub,xeric_shrub_occ,mesic_shrub_Nfix,mesic_shrub_Nfix_occ,xeric_shrub_Nfix,xeric_shrub_Nfix_occ,ann_c3_grass,ann_c3_grass_occ,ann_c4_grass,ann_c4_grass_occ,perenn_c3_grass,perenn_c3_grass_occ,perenn_c4_grass,perenn_c4_grass_occ,ephem_c3_grass,ephem_c3_grass_occ,ephem_c4_grass,ephem_c4_grass_occ,Nfix_mesic_midstory,Nfix_mesic_midstory_occ,Nfix_mod_rain,Nfix_mod_rain_occ,Nfix_xeric,Nfix_xeric_occ,savanna_tree,savanna_tree_occ,subalpine_tree,subalpine_tree_occ,floodplain_sclerophyll,floodplain_sclerophyll_occ,warm_rainforest_tree,warm_rainforest_tree_occ,cold_rainforest_tree,cold_rainforest_tree_occ,tall_sclerophyll_seed,tall_sclerophyll_seed_occ,tall_schlerophyll_resprout,tall_schlerophyll_resprout_occ,med_sclerophyll_seed,med_sclerophyll_seed_occ,med_schlerophyll_resprout,med_schlerophyll_resprout_occ,short_sclerophyll_seed,short_sclerophyll_seed_occ,short_schlerophyll_resprout,short_schlerophyll_resprout_occ
NA,NA,Choretrum chrysanthum,74,Gompholobium sp. Point Archer J.Wrigley+ NQ1301),13,Daviesia brachyphylla,80,Leptorhynchos orientalis,34,NA,NA,Cycnogeton rheophilum,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ptychocarpa subsp. aptycha,111,NA,NA,NA,NA
NA,NA,Scholtzia umbellifera,74,Acacia serpentinicola,12,Acacia atkinsiana,79,Swainsona microcalyx,33,NA,NA,Erodiophyllum elderi,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus melanoleuca,111,NA,NA,NA,NA
NA,NA,Dodonaea sinuolata subsp. acrodentata,72,Aphyllodium stylosanthoides,12,Acacia mutabilis subsp. mutabilis,79,Brachyscome gracilis,32,NA,NA,Goodenia strangfordii,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus sabulosa,111,NA,NA,NA,NA
NA,NA,Scaevola amblyanthera,72,Plagiocarpus arnhemicus,12,Acacia unifissilis,79,Centipeda crateriformis,32,NA,NA,Prasophyllum sphacelatum,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus megacarpa,110,NA,NA,NA,NA
NA,NA,Sclerolaena blackiana,72,Acacia saxicola,11,Gastrolobium laytonii,79,Vittadinia nullarborensis,28,NA,NA,Anigozanthos humilis,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata subsp. costata,109,NA,NA,NA,NA
NA,NA,Arabidella filifolia,71,Allocasuarina rigida subsp. exsul,11,Tephrosia sp. Bungaroo Creek (M.E.Trudgen 11601),79,Elachanthus glaber,25,NA,NA,Stylidium crassifolium,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus petiolaris,108,NA,NA,NA,NA
NA,NA,Eremophila gibbifolia,69,Isotropis browniae,11,Thinicola incana,79,Stellaria multiflora,25,NA,NA,Celmisia asteliifolia,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia arnhemensis,107,NA,NA,NA,NA
NA,NA,Leionema microphyllum,69,Pultenaea whiteana,11,Acacia dielsii,78,Senecio platylepis,22,NA,NA,Chiloglottis cornuta,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus apothalassica,107,NA,NA,NA,NA
NA,NA,Maireana tomentosa,69,Sophora longipes,11,Acacia imbricata,78,Wahlenbergia victoriensis,22,NA,NA,Lobelia browniana,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus banksii,102,NA,NA,NA,NA
NA,NA,Banksia leptophylla var. melletica,67,Tephrosia sp. Muddy Bay (P.I.Forster+ PIF15313),11,Daviesia scoparia,78,Brachyscome muelleroides,20,NA,NA,Ranunculus robertsonii,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus chartaboma,102,NA,NA,NA,NA
NA,NA,Bertya tasmanica subsp. vestita,67,Acacia deltoidea,9,Daviesia croniniana,77,Gentianella gunniana,19,NA,NA,Ampelocissus frutescens,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,100,NA,NA,NA,NA
NA,NA,Eremophila subfloccosa subsp. glandulosa,67,Plagiocarpus longiflorus,9,Daviesia arthropoda,76,Eriochlamys squamata,18,NA,NA,Hypoxis hygrometrica var. villosisepala,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus beyeriana,99,NA,NA,NA,NA
NA,NA,Cyphanthera albicans subsp. tomentosa,64,Acacia kimberleyensis,8,Acacia brachyclada,75,Brachyscome whitei,17,NA,NA,Cryptostylis erecta,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus dawsonii,98,NA,NA,NA,NA
NA,NA,Avicennia marina subsp. marina,63,Bossiaea zarae,8,Acacia intricata,75,Isachne myosotis,17,NA,NA,Goodenia delicata,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia plena,97,NA,NA,NA,NA
NA,NA,Haeckeria punctulata,61,Tephrosia delicatula,8,Acacia ptychophylla,75,Gentianella diemensis,16,NA,NA,Rytidosperma pauciflorum,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus acaciiformis,96,NA,NA,NA,NA
NA,NA,Thryptomene baeckeacea,61,Tephrosia sp. Kununurra (T.Handesyde TH00 250),8,Jacksonia rigida,75,Stellaria multiflora subsp. collaris,15,NA,NA,Geranium neglectum,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus seeana,96,NA,NA,NA,NA
NA,NA,Trymalium wayi,61,Acacia rigescens,7,Acacia densiflora,74,Trichanthodium baracchianum,13,NA,NA,Solenogyne bellioides,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus capitellata,95,NA,NA,NA,NA
NA,NA,Veronica decorosa,59,Acacia vincentii,7,Chorizema uncinatum,74,Pentalepis ecliptoides,9,NA,NA,Berula erecta,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus elliptica,95,NA,NA,NA,NA
NA,NA,Ozothamnus pholidotus,58,Pultenaea viscosa,7,Daviesia pachyphylla,74,Rhodanthe diffusa,9,NA,NA,Brachyscome stuartii,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus scias subsp. scias,95,NA,NA,NA,NA
NA,NA,Frankenia pauciflora var. fruticulosa,55,Tephrosia sp. Maud Creek (C.R.Michell 43),7,Gompholobium viscidulum,74,Hyalosperma stoveae,7,NA,NA,Centipeda racemosa,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia watsoniana subsp. watsoniana,94,NA,NA,NA,NA
NA,NA,Abutilon calliphyllum,51,Acacia hypermeces,6,Acacia pycnocephala,73,Millotia greevesii,7,NA,NA,Goodenia hispida,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tereticornis subsp. mediana,94,NA,NA,NA,NA
NA,NA,Labichea cassioides,50,Acacia lentiginea,6,Gastrolobium callistachys,73,Senecio murrayanus,7,NA,NA,Psychrophila introloba,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus interstans,93,NA,NA,NA,NA
NA,NA,Tecticornia pluriflora,50,Tadehagi robustum,6,Acacia binata,72,Stellaria papillata,3,NA,NA,Rytidosperma fortunae-hibernae,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus pellita,93,NA,NA,NA,NA
NA,NA,Spyridium tricolor,47,Tephrosia sp. G Kimberley Flora (G.J.Keighery 4828),6,Daviesia incrassata subsp. teres,72,NA,NA,NA,NA,Conostylis argentea,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tenella,93,NA,NA,NA,NA
NA,NA,Olearia brachyphylla,46,Tephrosia timoriensis,6,Jacksonia nematoclada,72,NA,NA,NA,NA,Anisomeles inodora,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus laeliae,91,NA,NA,NA,NA
NA,NA,Phebalium lowanense,46,Allocasuarina portuensis,5,Senna symonii,72,NA,NA,NA,NA,Clerodendrum tatei,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus polyanthemos subsp. polyanthemos,91,NA,NA,NA,NA
NA,NA,Stenanthemum tridentatum,45,Platylobium montanum,4,Acacia sessilispica,71,NA,NA,NA,NA,Plantago euryphylla,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ferruginea subsp. stypophylla,90,NA,NA,NA,NA
NA,NA,Adriana tomentosa,43,Acacia dissimilis,2,Daviesia pedunculata,71,NA,NA,NA,NA,Swainsona fissimontana,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus resinifera,88,NA,NA,NA,NA
NA,NA,Philotheca myoporoides subsp. acuta,43,Bossiaea barrettiorum,2,Daviesia uniflora,71,NA,NA,NA,NA,Craspedia lamicola,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora bakeri subsp. bakeri,85,NA,NA,NA,NA
NA,NA,Prostanthera eurybioides,43,Dillwynia sp. Barren Grounds (Chadwick s.n. NSW 39509),2,Isotropis drummondii,71,NA,NA,NA,NA,Hierochloe fraseri,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gilbertensis,85,NA,NA,NA,NA
NA,NA,Sclerolaena articulata,43,Plagiocarpus lanatus,2,Acacia aulacophylla,70,NA,NA,NA,NA,Ornduffia umbricola var. umbricola,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia umbonata,85,NA,NA,NA,NA
NA,NA,Cryptandra magniflora,42,Tephrosia sp. Groote Eylandt (R.L.Specht 387),2,Acacia gilesiana,70,NA,NA,NA,NA,Rytidosperma diemenicum,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus houseana,85,NA,NA,NA,NA
NA,NA,Grevillea angustiloba subsp. angustiloba,41,Acacia mitodes,1,Acacia sabulosa,70,NA,NA,NA,NA,Micraira adamsii,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus fulgens,84,NA,NA,NA,NA
NA,NA,Cryptandra campanulata,39,Tephrosia sp. Metamorphics (C.R.Michell 2557),1,Aotus sp. Esperance (P.G.Wilson 7904),70,NA,NA,NA,NA,Pterostylis tasmanica,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus marginata subsp. thalassica,84,NA,NA,NA,NA
NA,NA,Eremophila willsii,39,NA,NA,Senna cardiosperma,70,NA,NA,NA,NA,Diplaspis nivis,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus michaeliana,84,NA,NA,NA,NA
NA,NA,Adenanthos forrestii,38,NA,NA,Acacia enervia subsp. explicata,69,NA,NA,NA,NA,Stylidium dielsianum,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ptychocarpa,82,NA,NA,NA,NA
NA,NA,Bertya cunninghamii subsp. cunninghamii,36,NA,NA,Acacia ericksoniae,69,NA,NA,NA,NA,Patersonia umbrosa,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus parramattensis subsp. parramattensis,82,NA,NA,NA,NA
NA,NA,Atriplex vesicaria subsp. sphaerocarpa,35,NA,NA,Jacksonia angulata,69,NA,NA,NA,NA,Viola banksii,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia grandifolia,81,NA,NA,NA,NA
NA,NA,Phebalium festivum,33,NA,NA,Acacia menzelii,68,NA,NA,NA,NA,Pterostylis bicolor,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus radiata subsp. sejuncta,81,NA,NA,NA,NA
NA,NA,Atriplex nummularia subsp. omissa,31,NA,NA,Mirbelia rhagodioides,68,NA,NA,NA,NA,Dampiera altissima,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus nicholii,80,NA,NA,NA,NA
NA,NA,Dodonaea subglandulifera,31,NA,NA,Acacia enervia subsp. enervia,67,NA,NA,NA,NA,Phyllanthus flagellaris,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus parvula,79,NA,NA,NA,NA
NA,NA,Pimelea williamsonii,26,NA,NA,Acacia orbifolia,67,NA,NA,NA,NA,Caladenia congesta,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus squamosa,79,NA,NA,NA,NA
NA,NA,Zieria veronicea,26,NA,NA,Isotropis winneckei,67,NA,NA,NA,NA,Arrhenechthites mixtus,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia arafurica,75,NA,NA,NA,NA
NA,NA,Banksia fraseri,24,NA,NA,Acacia alcockii,66,NA,NA,NA,NA,Brachyscome nivalis,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bloxsomei,75,NA,NA,NA,NA
NA,NA,Westringia crassifolia,24,NA,NA,Acacia meisneri,66,NA,NA,NA,NA,Caladenia filamentosa,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rubiginosa,74,NA,NA,NA,NA
NA,NA,Crowea exalata subsp. revoluta,21,NA,NA,Gastrolobium parvifolium,66,NA,NA,NA,NA,Craspedia maxgrayi,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus paludicola,73,NA,NA,NA,NA
NA,NA,Melaleuca polycephala,21,NA,NA,Templetonia ceracea,66,NA,NA,NA,NA,Hydrocotyle pterocarpa,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus mackintii,72,NA,NA,NA,NA
NA,NA,Spyridium furculentum,20,NA,NA,Daviesia eremaea,65,NA,NA,NA,NA,Craspedia crocata,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus malacoxylon,72,NA,NA,NA,NA
NA,NA,Atriplex lindleyi subsp. quadripartita,19,NA,NA,Jacksonia arenicola,65,NA,NA,NA,NA,Leptorhynchos elongatus,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bunites,71,NA,NA,NA,NA
NA,NA,Phebalium squamulosum subsp. parvifolium,18,NA,NA,Acacia eremophila var. eremophila,64,NA,NA,NA,NA,Plantago antarctica,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora woodsiana,70,NA,NA,NA,NA
NA,NA,Atriplex vesicaria subsp. minor,17,NA,NA,Chorizema genistoides,64,NA,NA,NA,NA,Lomandra suaveolens,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus howittiana,70,NA,NA,NA,NA
NA,NA,Callistemon wimmerensis,16,NA,NA,Gastrolobium racemosum,64,NA,NA,NA,NA,Caladenia reticulata,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus wandoo subsp. pulverea,70,NA,NA,NA,NA
NA,NA,Boronia pilosa subsp. parvidaemonis,13,NA,NA,Acacia gregorii,63,NA,NA,NA,NA,Pimelea elongata,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora bakeri,69,NA,NA,NA,NA
NA,NA,Hibbertia ancistrotricha,12,NA,NA,Acacia spilleriana,63,NA,NA,NA,NA,Thysanotus fractiflexus,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus canaliculata,69,NA,NA,NA,NA
NA,NA,Philotheca angustifolia,11,NA,NA,Dillwynia divaricata,63,NA,NA,NA,NA,Chamaescilla spiralis,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus dorrigoensis,69,NA,NA,NA,NA
NA,NA,Atriplex vesicaria subsp. vesicaria,9,NA,NA,Gastrolobium reticulatum,63,NA,NA,NA,NA,Corunastylis despectans,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus leucoxylon,69,NA,NA,NA,NA
NA,NA,Pimelea spinescens subsp. pubiflora,6,NA,NA,Acacia inaequiloba,62,NA,NA,NA,NA,Swainsona adenophylla,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus amplifolia subsp. sessiliflora,68,NA,NA,NA,NA
NA,NA,Prostanthera arapilensis,6,NA,NA,Acacia kalgoorliensis,62,NA,NA,NA,NA,Brachyscome microcarpa,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus fusiformis,68,NA,NA,NA,NA
NA,NA,Eremophila divaricata subsp. callewatta,3,NA,NA,Allocasuarina acutivalvis subsp. prinsepiana,62,NA,NA,NA,NA,Celmisia costiniana,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia rhodops,67,NA,NA,NA,NA
NA,NA,Bertya tasmanica,1,NA,NA,Daviesia apiculata,62,NA,NA,NA,NA,Haemodorum brevicaule,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia serendipita,67,NA,NA,NA,NA
NA,NA,Bertya tasmanica var. Typical variant (R.J.F.Henderson & G.Turpin H3277),1,NA,NA,Gastrolobium melanocarpum,62,NA,NA,NA,NA,Pterostylis fischii,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus pyrocarpa,67,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Jacksonia elongata,62,NA,NA,NA,NA,Caladenia leptochila,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus argophloia,66,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia resinosa,61,NA,NA,NA,NA,Wurmbea uniflora,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus macrorhyncha subsp. cannonii,66,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Dillwynia acerosa,61,NA,NA,NA,NA,Dampiera pedunculata,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus williamsiana,64,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Gompholobium oreophilum,61,NA,NA,NA,NA,Pterostylis dolichochila,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus glaucina,63,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Tephrosia uniovulata,61,NA,NA,NA,NA,Pterostylis hamata,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia watsoniana subsp. capillata,62,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia evenulosa,60,NA,NA,NA,NA,Viola caleyana,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia xanthope,60,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia pachypoda,60,NA,NA,NA,NA,Diuris tricolor,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus delicata,60,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia sericocarpa,60,NA,NA,NA,NA,Calotis glandulosa,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus corynodes,58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Bossiaea smithiorum,60,NA,NA,NA,NA,Loxocarya striata,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus mannifera subsp. praecox,55,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Senna stricta,60,NA,NA,NA,NA,Senecio pectinatus var. major,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus willisii,55,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia acutata,59,NA,NA,NA,NA,Thelymitra circumsepta,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata subsp. euryphylla,53,NA,NA,NA,NA
